goal_bonus,heading_rad,heading_deg,lambda_mean,lambda_std,lambda_median,cos_theta_mean,cos_theta_std,cos_theta_median,success_rate,mean_ep_reward
0.0,-0.8567979964335799,-49.090909090909086,1.4131407737731934,4.195165157318115,0.6100105047225952,0.1308661252260208,0.6932485699653625,0.24799346923828125,0.69,5.951265122575796
0.0,-0.7933314781792404,-45.45454545454544,1.3228418827056885,3.563983917236328,0.5830758213996887,0.12048216164112091,0.7030667066574097,0.22647184133529663,0.69,5.951265122575796
0.0,-0.7298649599249014,-41.81818181818182,1.308942198753357,4.251728057861328,0.5822732448577881,0.09352810680866241,0.6978123188018799,0.16918843984603882,0.69,5.951265122575796
0.0,-0.666398441670562,-38.181818181818166,1.1392872333526611,2.2844018936157227,0.5943877100944519,0.08051612228155136,0.7068555951118469,0.16537004709243774,0.69,5.951265122575796
0.0,-0.6029319234162229,-34.54545454545455,1.0974676609039307,2.066884994506836,0.5961098670959473,0.07319850474596024,0.6989786624908447,0.1552131325006485,0.69,5.951265122575796
0.0,-0.5394654051618835,-30.909090909090896,1.1123554706573486,2.093986749649048,0.5886180400848389,0.04150278493762016,0.7096859812736511,0.10773178935050964,0.69,5.951265122575796
0.0,-0.47599888690754444,-27.272727272727273,1.1967360973358154,2.2621898651123047,0.6200270056724548,0.027855996042490005,0.7142616510391235,0.05113179236650467,0.69,5.951265122575796
0.0,-0.412532368653205,-23.636363636363626,1.3327698707580566,2.7702786922454834,0.6703670024871826,0.036502428352832794,0.7157567143440247,0.06409022212028503,0.69,5.951265122575796
0.0,-0.34906585039886595,-20.000000000000004,1.558467984199524,3.713583469390869,0.6674302816390991,0.06958900392055511,0.7254514694213867,0.1412217766046524,0.69,5.951265122575796
0.0,-0.2855993321445265,-16.363636363636353,1.5800896883010864,5.237637996673584,0.6446455717086792,0.03620936721563339,0.7215554118156433,0.09155808389186859,0.69,5.951265122575796
0.0,-0.22213281389018746,-12.727272727272732,1.802415132522583,8.089208602905273,0.6341012120246887,0.016259690746665,0.7129977345466614,0.008729115128517151,0.69,5.951265122575796
0.0,-0.158666295635848,-9.090909090909083,2.1431474685668945,11.654735565185547,0.6102646589279175,0.046032875776290894,0.7091134786605835,0.08980343490839005,0.69,5.951265122575796
0.0,-0.09519977738150853,-5.454545454545435,2.2148942947387695,13.05742073059082,0.581205427646637,0.08675840497016907,0.6960098147392273,0.16741009056568146,0.69,5.951265122575796
0.0,-0.03173325912716951,-1.8181818181818115,1.8720678091049194,14.541386604309082,0.5999134182929993,0.13497518002986908,0.6902374029159546,0.24406680464744568,0.69,5.951265122575796
0.0,0.031733259127169955,1.818181818181837,1.8657655715942383,14.488231658935547,0.6179242134094238,0.15177129209041595,0.6857792735099792,0.2647205591201782,0.69,5.951265122575796
0.0,0.09519977738150898,5.45454545454546,1.5186491012573242,5.320845603942871,0.6393933892250061,0.11686990410089493,0.6910694241523743,0.2010510414838791,0.69,5.951265122575796
0.0,0.15866629563584844,9.090909090909108,1.486837387084961,7.20689058303833,0.6389675140380859,0.08462429791688919,0.6944602131843567,0.14331644773483276,0.69,5.951265122575796
0.0,0.22213281389018746,12.727272727272732,1.3196719884872437,4.38627290725708,0.6352655291557312,0.06053442507982254,0.6993204355239868,0.0931512862443924,0.69,5.951265122575796
